Treatment,TotalFlowers
A,41
E,22
A,34
A,18
A,4
A,4
A,6
A,21
A,5
A,4
A,28
A,9
C,5
C,1
C,9
C,5
C,27
C,1
E,23
E,5
E,11
E,6
E,14
E,14
E,3
E,6
E,13
E,58
E,3
E,13
E,7
A,7
A,17
A,28
A,13
A,4
C,99
C,4
C,2
E,9
E,5
E,5
E,24
E,4
E,5
E,29
E,14
E,6
A,27
A,23
A,6
A,6
A,7
A,6
A,1
A,19
A,7
A,39
A,1
A,5
A,51
A,10
C,14
C,4
C,4
C,9
C,3
C,8
C,23
C,5
C,1
E,25
E,6
E,6
E,21
E,6
E,13
E,6
E,4
E,18
E,4
E,2
E,1
E,6
E,22
E,76
E,4
E,3
E,30
E,6
E,9
A,17
A,13
A,15
A,29
A,24
A,6
A,3
A,12
A,18
A,9
A,9
A,47
A,3
A,47
A,3
A,1
C,83
C,4
C,6
C,1
C,7
C,5
C,5
C,31
C,4
C,2
E,3
E,4
E,2
E,4
E,12
E,45
E,14
E,5
E,7
E,7
E,4
E,6
E,28
E,1
E,2
E,20
E,18
E,8
E,3
E,27
E,5
E,8
E,26
E,62
E,8
E,1
E,10
E,3
E,25
E,6
E,19
E,7
A,14
A,17
A,15
A,28
A,25
A,10
A,8
A,5
A,6
A,21
A,1
A,5
A,4
A,6
A,3
A,3
A,3
A,9
A,35
A,1
A,4
C,20
C,5
C,100
C,5
C,5
C,4
C,5
C,7
C,9
C,2
C,6
C,29
C,1
E,37
E,2
E,13
E,7
E,24
E,6
E,8
E,6
E,35
E,10
E,3
E,6
E,2
E,11
E,32
E,51
E,3
E,2
E,3
E,7
E,22
E,26
E,7
E,10
A,2
A,8
A,27
C,3
E,10
E,34
E,7
E,33
A,3
A,8
A,5
A,7
A,12
A,6
A,2
A,22
A,7
A,0
A,24
A,2
A,2
A,11
A,1
A,6
A,21
A,1
A,4
A,14
A,4
A,1
C,23
C,2
C,35
C,5
C,1
C,4
C,11
C,6
C,4
C,7
C,7
C,1
C,4
C,12
C,7
C,6
E,5
E,20
E,12
E,17
E,4
E,1
E,6
E,7
E,46
E,2
E,17
E,2
E,3
E,8
E,4
E,32
E,8
E,3
E,12
E,11
E,5
E,1
E,18
E,21
E,9
E,4
E,9
E,14
E,14
E,19
E,14
E,18
E,11
E,4
E,4
E,10
E,1
E,4
E,10
E,22
E,9
E,8
A,16
A,1
A,3
A,7
A,4
A,7
A,6
A,4
A,16
A,5
A,4
A,1
A,3
A,1
A,6
A,9
A,4
A,2
C,24
C,2
C,11
C,6
C,3
C,2
C,6
C,14
C,3
C,3
C,3
C,6
C,2
C,7
C,8
C,1
C,4
E,14
E,5
E,16
E,4
E,18
E,1
E,21
E,4
E,12
E,26
E,4
E,2
E,3
E,20
E,4
E,5
E,5
E,3
E,16
E,5
E,2
E,12
E,6
E,11
E,1
E,5
E,6
E,1
E,9
E,13
E,7
A,3
A,8
A,3
A,2
A,16
A,6
A,1
A,5
A,7
A,1
A,10
A,4
A,1
A,1
A,1
A,12
A,1
A,4
A,3
A,3
C,21
C,1
C,7
C,1
C,3
C,3
C,1
C,4
C,1
C,4
C,6
C,1
C,2
C,5
C,14
C,2
E,6
E,7
E,9
E,16
E,3
E,19
E,2
E,6
E,3
E,15
E,9
E,2
E,2
E,8
E,10
E,3
E,11
E,2
E,3
E,21
E,1
E,3
E,5
E,5
E,10
E,1
E,9
E,4
E,15
E,7
E,1
E,2
E,6
E,5
E,8
E,4
E,13
E,16
E,5
A,1
A,1
A,22
A,5
A,4
A,6
A,9
A,1
A,4
A,1
A,1
C,17
C,1
C,2
C,1
C,3
C,6
C,5
C,1
C,6
C,5
C,1
C,2
C,1
C,5
C,1
E,10
E,1
E,7
E,2
E,13
E,4
E,1
E,5
E,5
E,10
E,6
E,4
E,6
E,8
E,13
E,6
E,5
A,4
A,1
A,1
A,23
A,0
A,7
A,10
A,12
A,3
A,1
A,0
A,9
A,5
A,1
A,1
C,12
C,3
C,3
C,2
C,3
C,5
C,1
C,6
C,1
C,2
C,1
C,5
C,10
E,7
E,4
E,6
E,6
E,5
E,2
E,6
E,2
E,10
E,10
E,9
E,9
E,2
E,4
E,2
E,14
E,8
E,1
E,13
E,2
E,20
E,3
E,1
E,2
E,4
E,3
E,13
E,1
E,5
E,3
E,7
E,7
E,4
E,5
E,7
E,2
E,4
E,7
E,22
E,3
A,2
A,2
A,2
A,7
A,2
A,4
A,1
C,2
C,4
C,1
C,0
C,1
C,5
C,5
E,5
E,0
E,3
E,2
E,6
E,4
E,1
E,3
E,2
E,14
E,3
E,7
E,7
E,5
E,4
E,4
E,3
E,0
E,3
E,1
E,5
